scene,scene_display,camera,profile,profile_bits,guard_mode,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,psnr_gt,standard_psnr_gt,ssim_gt,standard_ssim_gt,lpips_gt,standard_lpips_gt,psnr_standard_ref,final_non_pd,saturations,unexplained_saturations,dangerous_negative_saturations,underflows,guard_eigen_floor_triggered,guard_diagonal_floor_triggered,guard_b_clamp_triggered
drjohnson,drjohnson,1,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.03478240966796875,0.0010275840759277344,-0.0014022290706634521,29.8311824798584,29.865964889526367,0.7939253449440002,0.7928977608680725,0.3544992506504059,0.35590147972106934,49.25091552734375,0,12969141,0,0,550379,,,
drjohnson,drjohnson,2,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.023832321166992188,-0.0004228353500366211,-0.00042107701301574707,24.89342498779297,24.91725730895996,0.9039868712425232,0.9044097065925598,0.2804795503616333,0.28090062737464905,54.08325958251953,0,48589774,0,0,818989,,,
drjohnson,drjohnson,3,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.00719451904296875,-0.00031644105911254883,-0.0009578168392181396,28.664154052734375,28.656959533691406,0.9343399405479431,0.9346563816070557,0.251497745513916,0.25245556235313416,56.65708541870117,0,21799381,0,0,318417,,,
drjohnson,drjohnson,4,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.00046539306640625,-0.00019860267639160156,-0.0006100237369537354,29.812763214111328,29.812297821044922,0.9196447134017944,0.919843316078186,0.263222336769104,0.26383236050605774,55.78831100463867,0,23033866,0,0,288467,,,
drjohnson,drjohnson,5,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.011844635009765625,-0.0005930066108703613,-0.0007690638303756714,23.70714569091797,23.695301055908203,0.9071664810180664,0.9077594876289368,0.23654469847679138,0.23731376230716705,56.545196533203125,0,22370106,0,0,565343,,,
drjohnson,drjohnson,6,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-8.7738037109375e-05,-0.0002435445785522461,-0.0009382516145706177,28.140193939208984,28.140281677246094,0.901137113571167,0.9013806581497192,0.24932383000850677,0.2502620816230774,49.639564514160156,0,40639811,0,0,917873,,,
drjohnson,drjohnson,7,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.0197296142578125,-0.0003446340560913086,-0.0009206533432006836,29.78890037536621,29.808629989624023,0.9237924218177795,0.9241370558738708,0.2287501096725464,0.22967076301574707,56.08592987060547,0,29245657,0,0,537272,,,
drjohnson,drjohnson,8,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.06789970397949219,-0.0003491640090942383,-0.0015179067850112915,31.22270965576172,31.29060935974121,0.9490872025489807,0.949436366558075,0.2434331178665161,0.2449510246515274,50.22180938720703,0,30962916,0,0,235597,,,
drjohnson,drjohnson,9,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.025539398193359375,-0.00015032291412353516,-0.0003458857536315918,28.163040161132812,28.188579559326172,0.8057267069816589,0.8058770298957825,0.3255192041397095,0.32586508989334106,56.85822677612305,0,16581464,0,0,669503,,,
drjohnson,drjohnson,10,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.032909393310546875,-0.0006306767463684082,-0.0005064308643341064,30.213958740234375,30.246868133544922,0.8709987998008728,0.8716294765472412,0.2789123058319092,0.2794187366962433,55.28750228881836,0,26123077,0,0,577210,,,
drjohnson,drjohnson,11,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.006320953369140625,-0.0004145503044128418,-0.00020810961723327637,25.789745330810547,25.796066284179688,0.9132309556007385,0.9136455059051514,0.3076685070991516,0.3078766167163849,55.48656463623047,0,21613100,0,0,232266,,,
drjohnson,drjohnson,12,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.0047359466552734375,-0.0003905296325683594,-0.0006037652492523193,29.37985610961914,29.375120162963867,0.8932066559791565,0.8935971856117249,0.27726224064826965,0.277866005897522,53.108455657958984,0,30930178,0,0,547517,,,
drjohnson,drjohnson,13,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.04276466369628906,7.092952728271484e-06,-0.000502854585647583,30.815122604370117,30.857887268066406,0.9356623888015747,0.9356552958488464,0.27708160877227783,0.2775844633579254,45.869293212890625,0,21823579,0,0,243548,,,
drjohnson,drjohnson,14,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.03856658935546875,-0.00027298927307128906,-0.0007893741130828857,28.71228790283203,28.673721313476562,0.9288126230239868,0.9290856122970581,0.224349707365036,0.2251390814781189,48.399288177490234,0,36440703,0,0,596267,,,
drjohnson,drjohnson,15,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.013401031494140625,-0.00021827220916748047,-0.0009297728538513184,33.202449798583984,33.215850830078125,0.9370918869972229,0.9373101592063904,0.23489424586296082,0.23582401871681213,56.013423919677734,0,18404513,0,0,353176,,,
drjohnson,drjohnson,16,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,-0.17789649963378906,-0.0003876686096191406,-0.0009571611881256104,30.91335678100586,31.09125328063965,0.9289560317993164,0.9293437004089355,0.2741025984287262,0.2750597596168518,48.82783126831055,0,17088536,0,0,198264,,,
drjohnson,drjohnson,17,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.001453399658203125,0.001112818717956543,-0.0004316568374633789,30.641151428222656,30.639698028564453,0.9016257524490356,0.9005129337310791,0.27285271883010864,0.273284375667572,52.06604766845703,0,21481735,0,0,542821,,,
drjohnson,drjohnson,18,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.023113250732421875,1.0073184967041016e-05,-0.001427292823791504,30.59774398803711,30.574630737304688,0.9256385564804077,0.9256284832954407,0.27694791555404663,0.27837520837783813,54.28429412841797,0,23226385,0,0,277025,,,
drjohnson,drjohnson,19,selected_coord18_conic20_opacity8_rgb10,20,full_pd_guard,0.016565322875976562,-0.000249326229095459,-0.0006677061319351196,31.888776779174805,31.872211456298828,0.9372327327728271,0.9374820590019226,0.20757777988910675,0.20824548602104187,56.07123565673828,0,35315746,0,0,703443,,,
