scene,scene_display,camera,profile,profile_bits,guard_mode,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,psnr_gt,standard_psnr_gt,ssim_gt,standard_ssim_gt,lpips_gt,standard_lpips_gt,psnr_standard_ref,final_non_pd,saturations,unexplained_saturations,dangerous_negative_saturations,underflows,guard_eigen_floor_triggered,guard_diagonal_floor_triggered,guard_b_clamp_triggered
lego,Lego,67,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.008213043212890625,-0.00010591745376586914,-9.373575448989868e-05,33.1263427734375,33.13455581665039,0.9665018916130066,0.9666078090667725,0.04872869700193405,0.04882243275642395,56.05062484741211,0,3070866,0,0,155068,0,0,0
lego,Lego,68,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.004222869873046875,-8.153915405273438e-05,-0.0001443810760974884,32.7866096496582,32.79083251953125,0.9667036533355713,0.966785192489624,0.05012282356619835,0.05026720464229584,55.85566329956055,0,3063583,0,0,182180,0,0,0
lego,Lego,69,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.00031280517578125,-6.824731826782227e-05,2.1327286958694458e-05,32.599632263183594,32.599945068359375,0.9669896960258484,0.9670579433441162,0.0517905056476593,0.05176917836070061,55.94964599609375,0,3072791,0,0,179112,0,0,0
lego,Lego,70,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.000736236572265625,-6.651878356933594e-05,-5.283579230308533e-05,32.31995391845703,32.3206901550293,0.9675033688545227,0.967569887638092,0.051087185740470886,0.05114002153277397,55.86658477783203,0,3082699,0,0,165106,0,0,0
lego,Lego,71,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.0015354156494140625,-7.778406143188477e-05,5.109608173370361e-05,31.54390525817871,31.545440673828125,0.9652348160743713,0.9653126001358032,0.05215819180011749,0.05210709571838379,55.59516143798828,0,3095625,0,0,175258,0,0,0
lego,Lego,72,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.007045745849609375,-4.571676254272461e-05,-0.00015256553888320923,30.484249114990234,30.477203369140625,0.9619872570037842,0.9620329737663269,0.05201972275972366,0.05217228829860687,55.831565856933594,0,3106931,0,0,172932,0,0,0
lego,Lego,73,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.0010128021240234375,-6.181001663208008e-05,-8.565932512283325e-05,29.655532836914062,29.656545639038086,0.9584294557571411,0.9584912657737732,0.054510608315467834,0.05459626764059067,55.909786224365234,0,3145469,0,0,169759,0,0,0
lego,Lego,74,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.0004215240478515625,-3.886222839355469e-05,-8.501484990119934e-05,29.453664779663086,29.453243255615234,0.9562293291091919,0.9562681913375854,0.055167194455862045,0.055252209305763245,55.96809005737305,0,3159317,0,0,164391,0,0,0
lego,Lego,75,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,0.0074100494384765625,-4.76837158203125e-05,-0.0002861618995666504,29.2607421875,29.253332138061523,0.9536111950874329,0.9536588788032532,0.05896783247590065,0.0592539943754673,55.75718307495117,0,3172091,0,0,158769,0,0,0
lego,Lego,76,selected_coord18_conic21_opacity8_rgb10,21,full_pd_guard,-0.00330352783203125,-7.992982864379883e-05,-7.67335295677185e-05,29.210182189941406,29.213485717773438,0.9524821639060974,0.9525620937347412,0.05912990868091583,0.05920664221048355,55.874324798583984,0,3178390,0,0,179428,0,0,0
