scene,camera,profile,delta_psnr_vs_standard,delta_ssim_vs_standard,delta_lpips_vs_standard,guard_risky_gaussians,guard_repaired_gaussians,guard_dropped_gaussians,guard_quantized_non_psd_before,guard_final_non_psd,guard_raw_kvp,guard_final_kvp
drjohnson,5,no_guard,0.0118141174316406,-0.0006123781204223,-0.0007650703191757,715,0,0,153,153,396901,396901
drjohnson,6,wide_control,0.0052471160888671,-0.0001906752586364,-0.0008787363767623,423,0,0,0,0,942200,942200
drjohnson,6,eigen_floor,-8.7738037109375e-05,-0.0002435445785522,-0.0009382516145706,423,423,0,93,0,942200,939415
drjohnson,6,integer_pd,0.0011634826660156,-0.0002298355102539,-0.0009730458259582,423,93,0,93,0,942200,940413
drjohnson,6,opacity_prune,-0.0189838409423828,-0.0002793669700622,-0.0009738504886627,423,0,423,93,0,942200,938598
drjohnson,6,no_guard,-5.230201721191406,-0.0225802063941955,0.0196775496006011,423,0,0,93,93,942200,942200
drjohnson,7,wide_control,-0.0105648040771484,-0.0002781748771667,-0.0009884238243103,1482,0,0,0,0,542985,542985
drjohnson,7,eigen_floor,-0.0197296142578125,-0.0003446340560913,-0.0009206533432006,1482,1482,0,274,0,542985,542881
drjohnson,7,integer_pd,-0.0154743194580078,-0.000290036201477,-0.0009364485740661,1482,274,0,274,0,542985,544097
drjohnson,7,opacity_prune,-0.0361003875732421,-0.000359296798706,-0.0009330660104751,1482,0,1482,274,0,542985,542277
drjohnson,7,no_guard,-0.0184688568115234,-0.0003297328948974,-0.0009582042694091,1482,0,0,274,274,542985,542985
drjohnson,8,wide_control,-0.0154895782470703,-0.0002217292785644,-0.0015943795442581,744,0,0,0,0,474180,474180
drjohnson,8,eigen_floor,-0.0678997039794921,-0.0003491640090942,-0.0015179067850112,744,744,0,152,0,474180,474985
drjohnson,8,integer_pd,-1.25274658203125,-0.0005745887756347,-0.0013278275728225,744,152,0,152,0,474180,478469
drjohnson,8,opacity_prune,-0.0678997039794921,-0.0003491640090942,-0.0015179067850112,744,0,744,152,0,474180,474980
drjohnson,8,no_guard,-1.1949596405029297,-0.0041283369064331,0.0065783709287643,744,0,0,152,152,474180,474180
drjohnson,9,wide_control,-0.0031166076660156,-3.212690353393555e-05,-0.0004619359970092,1152,0,0,0,0,297959,297959
drjohnson,9,eigen_floor,-0.0255393981933593,-0.0001503229141235,-0.0003458857536315,1152,1152,0,223,0,297959,297871
drjohnson,9,integer_pd,-0.0255393981933593,-0.0001503229141235,-0.0003458857536315,1152,223,0,223,0,297959,297871
drjohnson,9,opacity_prune,-0.0125236511230468,-6.633996963500977e-05,-0.0003726482391357,1152,0,1152,223,0,297959,295061
drjohnson,9,no_guard,-0.0263481140136718,-0.0001497864723205,-0.0003526806831359,1152,0,0,223,223,297959,297959
drjohnson,10,wide_control,-0.0042839050292968,-0.0002819299697875,-0.0004603564739227,562,0,0,0,0,513335,513335
drjohnson,10,eigen_floor,-0.0329093933105468,-0.0006306767463684,-0.0005064308643341,562,562,0,116,0,513335,512551
drjohnson,10,integer_pd,-0.0876007080078125,-0.001115083694458,-0.0003018677234649,562,116,0,116,0,513335,515179
drjohnson,10,opacity_prune,-0.0402679443359375,-0.0011113882064819,-0.0005256533622741,562,0,562,116,0,513335,511631
drjohnson,10,no_guard,-0.022613525390625,-0.0004185438156127,-0.0004305839538574,562,0,0,116,116,513335,513335
drjohnson,11,wide_control,-0.0047760009765625,-0.0002562403678894,-0.0006463527679443,533,0,0,0,0,425006,425006
drjohnson,11,eigen_floor,-0.0063209533691406,-0.0004145503044128,-0.0002081096172332,533,533,0,97,0,425006,425312
drjohnson,11,integer_pd,-0.0049476623535156,-0.0004158020019531,-0.0002186894416809,533,97,0,97,0,425006,425496
drjohnson,11,opacity_prune,-0.0063209533691406,-0.0004145503044128,-0.0002081096172332,533,0,533,97,0,425006,425312
drjohnson,11,no_guard,-0.0066261291503906,-0.0004206895828247,-0.0002382397651672,533,0,0,97,97,425006,425006
drjohnson,12,wide_control,-0.0077056884765625,-0.0001704096794128,-0.0006985068321228,895,0,0,0,0,573853,573853
drjohnson,12,eigen_floor,0.0047359466552734,-0.0003905296325683,-0.0006037652492523,895,895,0,166,0,573853,573820
drjohnson,12,integer_pd,-0.0162277221679687,-0.0004047751426696,-0.0005890130996704,895,166,0,166,0,573853,575005
drjohnson,12,opacity_prune,-0.0195159912109375,-0.0004816651344299,-0.0005928874015808,895,0,895,166,0,573853,572680
drjohnson,12,no_guard,-0.0177631378173828,-0.0004229545593261,-0.0006271600723266,895,0,0,166,166,573853,573853
drjohnson,13,wide_control,0.0069847106933593,-0.0001556277275085,-0.0012284219264984,475,0,0,0,0,376247,376247
drjohnson,13,eigen_floor,-0.042764663696289,7.092952728271484e-06,-0.0005028545856475,475,475,0,101,0,376247,380862
drjohnson,13,integer_pd,-0.042764663696289,7.092952728271484e-06,-0.0005028545856475,475,101,0,101,0,376247,380862
drjohnson,13,opacity_prune,-0.042764663696289,7.092952728271484e-06,-0.0005028545856475,475,0,475,101,0,376247,380862
drjohnson,13,no_guard,0.0076065063476562,-0.0002663135528564,-0.0012241303920745,475,0,0,101,101,376247,376247
drjohnson,14,wide_control,0.0024604797363281,-0.0002025365829467,-0.0008291155099868,669,0,0,0,0,693483,693483
drjohnson,14,eigen_floor,0.0385665893554687,-0.0002729892730712,-0.0007893741130828,669,669,0,132,0,693483,692125
drjohnson,14,integer_pd,0.0016536712646484,-0.0003265738487243,-0.0007015615701675,669,132,0,132,0,693483,692621
drjohnson,14,opacity_prune,0.0817527770996093,-0.0002870559692382,-0.0009790658950805,669,0,669,132,0,693483,688938
drjohnson,14,no_guard,-0.2057228088378906,-0.0009030103683471,0.0002144575119018,669,0,0,132,132,693483,693483
drjohnson,15,wide_control,-0.004913330078125,-0.000173270702362,-0.001142606139183,785,0,0,0,0,297830,297830
